FileNo,BirdMamm,SpNo,SglMtp,Species,Bmass,logBm,NoBroods,MeanBS,MeanSires,MP,mean.q,sd.q,q2.5,q97.5,mean.nsires,sd.nsires,nsires2.5,nsires97.5,mean.nmates,sd.nmates,nmates2.5,nmates97.5,mean.estM,sd.estM,estM2.5,estM97.5,mean.est.pmult,sd.est.pmult,est.pmult2.5,est.pmult97.5,mean.avgR,sd.avgR,avgR2.5,avgR97.5,mean.avgM,sd.avgM,avgM2.5,avgM97.5,pred_pmult,pred_pmult_lcl,pred_pmult_ucl,resid_pmult,resid_pmult_lcl,resid_pmult_ucl
49,1,46,b,"greater sage-grouse, Centrocercus urophasianus",,,191,6.3141,1.0737,0.073684211,0.242398165,0.002575747,0.237364425,0.24749196,1.650746269,0.85658814,1,4,7.775321542,5.668674092,2,23,6.810829854,3.535145683,4.052341668,16.4759008,0.79094545,0.004778691,0.785663597,0.796946868,1.935126565,0.084686792,1.832649074,2.041486258,4.69050774,0.265328867,4.353264971,5.039169975,0.798136499,0.788537096,0.811805168,0.724452289,0.714852886,0.738120957
50,1,46,b,"greater sage-grouse, Centrocercus urophasianus",,,10,7.2,1.2,0.2,0.242398165,0.002575747,0.237364425,0.24749196,1.650746269,0.85658814,1,4,7.775321542,5.668674092,2,23,6.810829854,3.535145683,4.052341668,16.4759008,0.79094545,0.004778691,0.785663597,0.796946868,1.935126565,0.084686792,1.832649074,2.041486258,4.69050774,0.265328867,4.353264971,5.039169975,0.807697338,0.797384925,0.822458206,0.607697338,0.597384925,0.622458206
51,1,47,a,"grey fantail, Rhipidura fuliginosa",,,25,1.96,1.8,0.64,0.607747526,0.019824666,0.568947414,0.646203373,1.464,0.681692149,1,3,3.7027872,1.924534134,2,9,2.411467187,1.126239143,1.556388201,5.108821853,0.614087989,0.003040308,0.611701387,0.622482383,1.417902916,0.019561098,1.380405641,1.456624832,2.964918672,0.097063546,2.785500779,3.163737028,0.627386488,0.610220677,0.652811852,-0.012613512,-0.029779323,0.012811852
52,1,48,a,"ground tit, Pseudopodoces humilis",,,75,4.6933,1.0133,0.013333333,0.319941462,0.007771471,0.304625329,0.335171499,1.517333333,0.751243168,1,4,5.812849067,3.901703734,2,16,4.745334487,2.352974307,2.99971012,12.064471,0.763847462,0.00055033,0.763456959,0.765470052,1.795684639,0.024767777,1.747281021,1.844602997,3.169116178,0.077042412,3.023327866,3.32649073,0.77419966,0.766316607,0.784675701,0.760866327,0.752983273,0.771342368
53,1,49,a,"house finch, Carpodacus mexicanus",,,59,3.5932,1.1525,0.13559322,0.422256326,0.010683297,0.401374347,0.442900588,1.562711864,0.797432027,1,4,4.888970678,2.998188879,2,13,3.703233797,1.892648823,2.269357596,9.193684388,0.737260955,0.001757149,0.735138101,0.741526215,1.762941099,0.025649963,1.71331207,1.812991564,2.731235338,0.069227473,2.602259749,2.871489871,0.740204459,0.732412872,0.750996047,0.604611238,0.596819651,0.615402826
54,1,50,b,"house sparrow, Passer domesticus",,,112,3.3036,1.2857,0.285714286,0.450087164,0.002318437,0.445581132,0.454667584,1.494452555,0.731690296,1,3,4.510973679,2.673476257,2,11,3.320450619,1.625818203,2.201933633,6.715057736,0.72177565,0.016335275,0.699078314,0.750864299,1.6908738,0.109734795,1.520803739,1.871656796,2.560383976,0.251091655,2.284363893,2.879415898,0.698401692,0.689509119,0.711833891,0.662687407,0.653794833,0.676119605
55,1,50,b,"house sparrow, Passer domesticus",,,56,2.7232,1.0357,0.035714286,0.450087164,0.002318437,0.445581132,0.454667584,1.494452555,0.731690296,1,3,4.510973679,2.673476257,2,11,3.320450619,1.625818203,2.201933633,6.715057736,0.72177565,0.016335275,0.699078314,0.750864299,1.6908738,0.109734795,1.520803739,1.871656796,2.560383976,0.251091655,2.284363893,2.879415898,0.728135507,0.720302001,0.73984683,0.442421221,0.434587715,0.454132544
56,1,50,b,"house sparrow, Passer domesticus",,,35,3.6857,1.2857,0.285714286,0.450087164,0.002318437,0.445581132,0.454667584,1.494452555,0.731690296,1,3,4.510973679,2.673476257,2,11,3.320450619,1.625818203,2.201933633,6.715057736,0.72177565,0.016335275,0.699078314,0.750864299,1.6908738,0.109734795,1.520803739,1.871656796,2.560383976,0.251091655,2.284363893,2.879415898,0.743850719,0.736119444,0.754424634,0.458136433,0.450405158,0.468710348
57,1,51,b,"house wren, Troglodytes aedon",,,9,6,1.1111,0.111111111,0.314843472,0.001988112,0.311048,0.318729214,1.7125,0.893696237,1,4,6.515599444,4.381286941,2,18,5.439427633,2.838918975,3.142822263,12.71928642,0.780355892,0.013428591,0.76428438,0.798748812,1.950991946,0.129972569,1.780245243,2.120391181,4.15096017,0.545189071,3.496657067,4.89971094,0.775131437,0.767197649,0.785695313,0.399440829,0.391507041,0.410004706
58,1,51,b,"house wren, Troglodytes aedon",,,181,4.7348,1.5286,0.375690608,0.314843472,0.001988112,0.311048,0.318729214,1.7125,0.893696237,1,4,6.515599444,4.381286941,2,18,5.439427633,2.838918975,3.142822263,12.71928642,0.780355892,0.013428591,0.76428438,0.798748812,1.950991946,0.129972569,1.780245243,2.120391181,4.15096017,0.545189071,3.496657067,4.89971094,0.794594876,0.78519281,0.807874161,0.683483765,0.674081699,0.69676305
59,1,52,a,"imperial shag, Phalacrocorax atriceps",,,37,2.973,0,0,0.44709428,0.014624572,0.418287367,0.475542736,1.432432432,0.629909583,1,3,4.376957838,2.5079585,2,11,3.207312858,1.415096705,2.116197187,6.805812734,0.709696,0.002302233,0.707800005,0.716008121,1.605091102,0.026323966,1.553958833,1.657013959,2.239067467,0.073542422,2.102860427,2.390700938,0.712186037,0.703952526,0.724918313,0.712186037,0.703952526,0.724918313
60,1,53,a,"Isabelline shrike, Lanius isabellinus",,,61,3.377,1.0492,0.049180328,0.412188222,0.010747867,0.391704756,0.433465516,1.437704918,0.622176014,1,3,4.636880328,2.7261034,2,12,3.490355042,1.513731063,2.320086094,7.32712634,0.727728712,0.00102318,0.726954333,0.730510732,1.669662432,0.022989102,1.626295409,1.7156359,2.547123406,0.066477919,2.420447047,2.678497802,0.731307809,0.723482168,0.742747112,0.682127481,0.674301841,0.693566785
61,1,54,a,"jabiru, Jabiru mycteria",,,13,2.6154,1.3846,0.076923077,0.533875494,0.026575955,0.480601335,0.585459961,1.453846154,0.657636328,1,3,3.966710769,2.135452381,2,9,2.729997239,1.244017694,1.722046309,5.812115219,0.688397718,0.004555927,0.684615515,0.70096651,1.616509754,0.042581995,1.533381082,1.701244939,2.599997371,0.130506745,2.365004401,2.881006116,0.691244661,0.681985443,0.705383699,0.614321584,0.605062366,0.628460622
62,1,55,a,"kalij pheasant, Lophura leucomelanos",,,13,6.0769,1.7692,0.538461538,0.313187864,0.016148093,0.282003434,0.345969761,1.984615385,1.143440697,1,5,7.439406154,5.132749994,2,21,6.35374942,3.6803914,2.951122614,16.14366643,0.799674245,0.008260638,0.786233284,0.818487962,2.120164744,0.074926998,1.977871825,2.274751833,5.664195219,0.293497215,5.113830668,6.273791585,0.795469871,0.786022021,0.80884486,0.257008333,0.247560482,0.270383321
63,1,56,a,"Karoo scrub-robin, Erythropygia coryphaeus",,,12,2.75,1.3333,0.333333333,0.477304031,0.025573504,0.428605207,0.528484773,1.5,0.785281593,1,3,4.3649375,2.622145531,2,11,3.151725336,1.661098973,1.9125906,6.726310373,0.697381732,0.00452603,0.694224752,0.709742264,1.578238895,0.041749038,1.500666632,1.66381698,2.801533632,0.151009584,2.522936141,3.110865928,0.700174444,0.691411313,0.713409735,0.36684111,0.35807798,0.380076401
64,1,57,b,"Kentish plover, Charadrius alexandrinus",,,12,1.9048,1.0159,0.015873016,0.540673102,0.002588209,0.535519965,0.545764588,1.323717949,0.575416482,1,3,3.623101827,1.931836054,2,9,2.448333901,1.064360627,1.833546331,5.548986292,0.65871677,0.020216834,0.632995502,0.687955768,1.44710048,0.149857626,1.207340291,1.630992664,1.87189285,0.028712563,1.835008004,1.935106749,0.571720289,0.543064483,0.611507689,0.571720289,0.543064483,0.611507689
65,1,57,b,"Kentish plover, Charadrius alexandrinus",,,28,1.5833,1,0,0.540673102,0.002588209,0.535519965,0.545764588,1.323717949,0.575416482,1,3,3.623101827,1.931836054,2,9,2.448333901,1.064360627,1.833546331,5.548986292,0.65871677,0.020216834,0.632995502,0.687955768,1.44710048,0.149857626,1.207340291,1.630992664,1.87189285,0.028712563,1.835008004,1.935106749,0.620095547,0.601598828,0.647230081,0.604222531,0.585725812,0.631357065
66,1,57,b,"Kentish plover, Charadrius alexandrinus",,,19,2.0357,1,0,0.540673102,0.002588209,0.535519965,0.545764588,1.323717949,0.575416482,1,3,3.623101827,1.931836054,2,9,2.448333901,1.064360627,1.833546331,5.548986292,0.65871677,0.020216834,0.632995502,0.687955768,1.44710048,0.149857626,1.207340291,1.630992664,1.87189285,0.028712563,1.835008004,1.935106749,0.636907559,0.621378278,0.660201178,0.636907559,0.621378278,0.660201178
67,1,57,b,"Kentish plover, Charadrius alexandrinus",,,63,2.5205,1.0411,0.04109589,0.540673102,0.002588209,0.535519965,0.545764588,1.323717949,0.575416482,1,3,3.623101827,1.931836054,2,9,2.448333901,1.064360627,1.833546331,5.548986292,0.65871677,0.020216834,0.632995502,0.687955768,1.44710048,0.149857626,1.207340291,1.630992664,1.87189285,0.028712563,1.835008004,1.935106749,0.67724428,0.667323504,0.69281414,0.67724428,0.667323504,0.69281414
68,1,57,b,"Kentish plover, Charadrius alexandrinus",,,73,2.4211,1,0,0.540673102,0.002588209,0.535519965,0.545764588,1.323717949,0.575416482,1,3,3.623101827,1.931836054,2,9,2.448333901,1.064360627,1.833546331,5.548986292,0.65871677,0.020216834,0.632995502,0.687955768,1.44710048,0.149857626,1.207340291,1.630992664,1.87189285,0.028712563,1.835008004,1.935106749,0.684768998,0.67527875,0.699488549,0.643673108,0.63418286,0.658392659
69,1,58,a,"Kittlitz's plover, Charadrius pecuarius",,,15,1.2,1,0,0.691412443,0.028254451,0.635047822,0.745466799,1.233333333,0.467855784,1,2,2.958656,1.331702615,2,6,1.786792869,0.682368844,1.347463211,3.146322264,0.457864718,0.036276425,0.396338125,0.537391073,1.097515038,0.00595154,1.086047727,1.109318219,1.448750975,0.059722406,1.341441364,1.57468456,0.501256888,0.455658803,0.561618294,0.501256888,0.455658803,0.561618294
70,1,59,b,"lesser kestrel, Falco naumanni",,,,,,,0.42887845,0.006578801,0.415939429,0.441784361,1.414619883,0.642106613,1,3,4.447192515,2.628746831,2,11,3.299193192,1.498560409,2.270547271,7.053705395,0.718869317,0.005371442,0.711167189,0.726475906,1.633447216,0.048791154,1.564294137,1.71572783,2.429387297,0.142411762,2.270534428,2.682703936,0.713478054,0.705276446,0.726196843,0.588478054,0.580276446,0.601196843
71,1,59,b,"lesser kestrel, Falco naumanni",,,23,3.1304,1,0,0.42887845,0.006578801,0.415939429,0.441784361,1.414619883,0.642106613,1,3,4.447192515,2.628746831,2,11,3.299193192,1.498560409,2.270547271,7.053705395,0.718869317,0.005371442,0.711167189,0.726475906,1.633447216,0.048791154,1.564294137,1.71572783,2.429387297,0.142411762,2.270534428,2.682703936,0.719921698,0.711919587,0.732341405,0.719921698,0.711919587,0.732341405
72,1,60,a,"long-tailed tit, Aegithalos caudatus",,,48,7.75,1.125,0.125,0.219323645,0.006828418,0.205844373,0.232584355,1.689583333,0.892967894,1,4,8.633934167,6.476662847,2,26,7.711088712,4.084486479,4.335230833,18.38222357,0.797873688,0.001244596,0.796689692,0.801074829,1.99238913,0.038799492,1.916494278,2.068365357,5.134387059,0.160164315,4.836954747,5.465293929,0.813345424,0.802463998,0.82879716,0.688345424,0.677463998,0.70379716
73,1,61,a,"Madagascar plover, Charadrius thoracicus",,,12,1.6667,1,0,0.546735381,0.029585875,0.488436784,0.60414178,1.258333333,0.524338426,1,2.025,3.4507225,1.825867695,2,8,2.308362584,0.971588826,1.664344231,4.721068122,0.635077118,0.034053223,0.581184648,0.712406734,1.244284036,0.017918875,1.209985916,1.280100558,1.834460331,0.100520639,1.655240596,2.04734785,0.585218515,0.559569495,0.621304418,0.585218515,0.559569495,0.621304418
74,1,62,a,"mallard, Anas platyrhynchos",,,25,9.9615,1.6,0.48,0.207472461,0.008093804,0.191850908,0.223685024,2.08,1.213919515,1,5,10.882648,8.308938231,2,33,10.04070874,5.877490774,4.546021431,24.53822104,0.824377246,0.005766747,0.814232249,0.836746774,2.293359673,0.063947855,2.171256353,2.422745705,7.723622107,0.30181139,7.152915168,8.339809348,0.83429717,0.819988751,0.852901467,0.35429717,0.339988751,0.372901467
75,1,63,a,"Mexican jay, Aphelocoma ultramarina",,,51,2.7255,1.7647,0.62745098,0.568760511,0.012804769,0.543362626,0.593597528,1.664705882,0.789222462,1,4,4.305462745,2.265066027,2,10,2.928388564,1.390248987,1.695552125,6.823270833,0.70878138,0.005139439,0.699678065,0.719722893,1.724545311,0.023132887,1.679205011,1.769961376,3.104298831,0.070069599,2.972899647,3.247749845,0.698555217,0.689674037,0.711969475,0.071104237,0.062223056,0.084518495
76,1,64,b,"monk parakeet, Myiopsitta monachus",,,52,1.1154,1,0,0.554549856,0.006752047,0.541339233,0.567948693,1.279059829,0.540960668,1,3,3.463362051,1.816220935,2,8,2.306825098,0.976116711,1.763391433,5.396283168,0.692641476,0.048139444,0.622222575,0.761859276,1.381058423,0.289448625,1.039950396,1.766463221,1.803531817,0.021969715,1.760722426,1.847270509,0.483891266,0.433905195,0.549539124,0.483891266,0.433905195,0.549539124
77,1,64,b,"monk parakeet, Myiopsitta monachus",,,14,1.9286,1,0,0.554549856,0.006752047,0.541339233,0.567948693,1.279059829,0.540960668,1,3,3.463362051,1.816220935,2,8,2.306825098,0.976116711,1.763391433,5.396283168,0.692641476,0.048139444,0.622222575,0.761859276,1.381058423,0.289448625,1.039950396,1.766463221,1.803531817,0.021969715,1.760722426,1.847270509,0.623274829,0.605366872,0.64965578,0.623274829,0.605366872,0.64965578
78,1,64,b,"monk parakeet, Myiopsitta monachus",,,12,2.8333,1,0,0.554549856,0.006752047,0.541339233,0.567948693,1.279059829,0.540960668,1,3,3.463362051,1.816220935,2,8,2.306825098,0.976116711,1.763391433,5.396283168,0.692641476,0.048139444,0.622222575,0.761859276,1.381058423,0.289448625,1.039950396,1.766463221,1.803531817,0.021969715,1.760722426,1.847270509,0.70512301,0.696649487,0.717993939,0.70512301,0.696649487,0.717993939
79,1,65,a,"Montagu's harrier, Circus pygargus",,,10,3.2,1.1,0.1,0.423365164,0.026939897,0.370878151,0.47558821,1.42,0.750733351,1,3,4.5054,2.873725648,2,12,3.367839788,1.797393452,2.120267976,7.814389949,0.723253934,0.005894819,0.719282034,0.739740511,1.636639564,0.053397852,1.535252556,1.742781835,2.608889977,0.168236307,2.312925292,2.965933685,0.723375158,0.71547629,0.735501233,0.623375158,0.61547629,0.635501233
80,1,66,a,"New Zealand hihi, Notiomystis cincta",,,485,3.1711,1.5794,0.4371134,0.503973053,0.003934781,0.496265339,0.511781325,1.669278351,0.856933221,1,4,4.622501979,2.649467624,2,11,3.312439201,1.700707339,1.958714647,7.923071165,0.730329303,0.001452829,0.727589557,0.733314432,1.79217865,0.008520574,1.775548785,1.809148159,3.134051912,0.024469633,3.086047429,3.182534263,0.721970611,0.714035931,0.734217348,0.284857209,0.276922529,0.297103946
81,1,67,a,"New Zealand robin, Petroica australis",,,54,3.6667,1.0185,0.018518519,0.475027821,0.006873677,0.461696114,0.488481803,1.38021978,0.617015125,1,3,4.072318132,2.304741707,2,10,2.906164376,1.299992555,2.052085205,6.347809083,0.746965768,0.015331142,0.714378787,0.765060163,1.564160241,0.358973189,1.199147129,1.953014464,2.125076997,0.036426946,2.05583191,2.196907024,0.743120094,0.735376422,0.753738075,0.724601576,0.716857904,0.735219556
82,1,68,a,"North American black tern, Chlidonias niger",,,11,2.5455,1,0,0.480502944,0.027786054,0.425891776,0.53490792,1.427272727,0.680362391,1,3,4.170506364,2.414624226,2,10,2.980408871,1.433761119,1.890500664,6.445601893,0.687891923,0.009679958,0.679127678,0.714050175,1.508512579,0.039445093,1.433063802,1.587804605,2.088184559,0.122021237,1.86948064,2.348014348,0.686515167,0.677092153,0.701071009,0.686515167,0.677092153,0.701071009
83,1,69,a,"Northern bobwhite, Colinus virginianus",,,34,11.4118,2.29,0.852941176,0.225020682,0.006635562,0.212215774,0.238212982,2.632352941,1.344973538,1,6,12.51347441,8.461092898,2,34,11.70845767,5.994901984,4.283907473,26.2856994,0.866577188,0.006493687,0.854053555,0.879466631,2.716291646,0.064787808,2.592163151,2.846000158,10.18570407,0.300798637,9.61324602,10.79090379,0.846975935,0.829267167,0.868250281,-0.005965241,-0.02367401,0.015309105
84,1,70,a,"northern flicker, Colaptes auratus",,,53,6.9245,1.0189,0.018867925,0.222566055,0.006793229,0.209691423,0.236033716,1.571698113,0.807716951,1,4,8.006882264,6.010585491,2,24,7.068299758,3.640598729,4.265818453,17.40706346,0.792175189,0.001416148,0.790865149,0.79586816,1.868145667,0.033059931,1.80602253,1.934237389,4.58209108,0.139984727,4.316620282,4.858891736,0.804788469,0.794723665,0.819208704,0.785920545,0.77585574,0.80034078
85,1,71,a,"ostrich, Struthio camelus",,,4,15.25,2.5,1,0.17995383,0.015551453,0.150745196,0.211780394,2.75,1.512450237,1,5.075,16.0611275,11.78144083,2,46,15.39679333,8.605372131,5.026340838,36.04630958,0.880023731,0.017871278,0.845985884,0.915559916,2.886960696,0.206851846,2.506289123,3.317696466,13.99708485,1.220164333,11.80468104,16.58427643,0.879671934,0.847448726,0.912202474,-0.120328066,-0.152551274,-0.087797526
86,1,72,a,"pied babbler, Turdoides bicolor",,,61,2.377,1.0492,0.049180328,0.540034161,0.012412189,0.515461558,0.563918626,1.378688525,0.605335549,1,3,3.757928197,2.000264555,2,9,2.554317534,1.123355521,1.779496463,5.590948045,0.664801604,0.000942898,0.664134051,0.66749197,1.524462545,0.016703184,1.49178986,1.556993872,1.943832606,0.044796856,1.860517244,2.035419155,0.673536254,0.663291464,0.689633792,0.624355926,0.614111136,0.640453464
87,1,73,b,"pied flycatcher, Ficedula hypoleuca",,,296,4.5424,1.4322,0.288135593,0.323883083,0.001918974,0.320128221,0.327575958,1.681849913,0.871801051,1,4,6.281187138,4.187083465,2,17,5.192950951,2.692032987,3.05759865,12.3438045,0.77681158,0.016260828,0.760642821,0.800593157,1.927381745,0.148226458,1.762050705,2.138369222,3.949077193,0.338122943,3.628361177,4.459787489,0.770586974,0.762866329,0.780782216,0.48245138,0.474730736,0.492646622
88,1,73,b,"pied flycatcher, Ficedula hypoleuca",,,59,5.9155,1.219594595,0.189189189,0.323883083,0.001918974,0.320128221,0.327575958,1.681849913,0.871801051,1,4,6.281187138,4.187083465,2,17,5.192950951,2.692032987,3.05759865,12.3438045,0.77681158,0.016260828,0.760642821,0.800593157,1.927381745,0.148226458,1.762050705,2.138369222,3.949077193,0.338122943,3.628361177,4.459787489,0.793628251,0.7842746,0.806802124,0.604439062,0.595085411,0.617612935
89,1,74,a,"prairie chicken, TYMPANUCHUS CUPIDO",,,25,8.5,1.64,0.44,0.244306247,0.009438721,0.225697151,0.263157813,2.04,1.168931369,1,5,9.2945884,6.808343104,2,27,8.362672201,4.806381598,3.857137083,20.65425434,0.82222311,0.006462804,0.8104512,0.835916214,2.288629652,0.063665655,2.164521585,2.417136671,6.722932554,0.260445982,6.23200194,7.26637441,0.820736638,0.808907813,0.837172619,0.380736638,0.368907813,0.397172619
90,1,75,a,"red phalarope, Phalaropus fulicarius",,,18,3.8889,1.3333,0.333333333,0.418960905,0.018530209,0.382764408,0.455096249,1.633333333,0.81581611,1,3,5.106574444,3.095070541,2,13,3.906191684,1.96067487,2.220864009,7.863365233,0.752501823,0.005695056,0.744790768,0.765908537,1.854312083,0.050349698,1.757701719,1.954119966,3.188727905,0.141624749,2.929783178,3.483430818,0.751100472,0.743490057,0.761255859,0.417767138,0.410156724,0.427922525
91,1,76,a,"red-billed quelea, Quelea quelea",,,37,1.5135,1.3243,0.324324324,0.634946209,0.017550619,0.600959749,0.668841626,1.294594595,0.557235503,1,3,3.235567027,1.609729106,2,7,2.040466575,0.880439196,1.49879837,4.728201317,0.547142466,0.01337135,0.524580213,0.575900242,1.228364712,0.009101567,1.211071781,1.246284017,2.087324889,0.057865056,1.980026769,2.203682241,0.559904232,0.528537059,0.603011075,0.235579908,0.204212735,0.27868675
92,1,77,a,"red-breasted flycatcher, Ficedula parva",,,33,4.8182,1.3939,0.242424242,0.341958574,0.011970764,0.318425298,0.365617446,1.639393939,0.820361979,1,3,5.910443636,3.837680155,2,16,4.800032942,2.409372318,2.761656533,9.635955926,0.769602795,0.002912327,0.7658253,0.776772286,1.901013282,0.040939799,1.821482706,1.98291946,4.081358879,0.143569419,3.812562586,4.377602539,0.776929666,0.768887557,0.787681406,0.534505423,0.526463314,0.545257164
93,1,78,a,"red-capped plover, Charadrius ruficapillus",,,4,1.75,1,0,0.559502604,0.050342115,0.45824684,0.656466778,1.275,0.446514836,1,2,3.4588425,1.700484722,2,8,2.297848925,0.835905307,1.541513043,4.066154617,0.628449227,0.047036645,0.573005526,0.750274524,1.2864878,0.035383334,1.218926068,1.358181374,1.802234451,0.167432309,1.523306334,2.182229998,0.598052374,0.575154462,0.630726208,0.598052374,0.575154462,0.630726208
94,1,79,a,"reed bunting, Emberiza schoeniclus",,,121,4,1.9706,0.558823529,0.479860578,0.007157369,0.465967582,0.493834585,1.972727273,1.038156387,1,5,5.510325289,3.175600471,2,13,4.111957616,2.165046497,2.036576454,10.12656166,0.787603494,0.004255296,0.779532903,0.796091104,2.071121238,0.021888379,2.028887214,2.114108859,4.107499001,0.061300769,3.990381185,4.22902432,0.754741003,0.747178628,0.764730856,0.195917474,0.188355098,0.205907327
95,1,80,a,"Ridgway's hawk, Buteo ridgwayi",,,41,1.8696,1,0,0.581299869,0.016277793,0.549493872,0.612828076,1.302439024,0.509656955,1,2,3.425323659,1.689252178,2,8,2.242325117,0.880045875,1.63770057,3.738496558,0.611022824,0.007360666,0.59970538,0.627854355,1.352532943,0.013852309,1.325911647,1.379809756,1.721635389,0.048357278,1.631779023,1.819856511,0.615291788,0.59588066,0.643589362,0.615291788,0.59588066,0.643589362
96,1,81,a,"rufous-and-white wren, Thryothorus rufalbus",,,51,3.098,1.0588,0.058823529,0.453773819,0.012245466,0.429453901,0.477335468,1.462745098,0.660944364,1,3,4.412866863,2.527043078,2,11,3.225865563,1.460758818,2.106557391,6.755674079,0.71496578,0.000805105,0.714374842,0.717222224,1.661103812,0.023886363,1.614218731,1.707588815,2.335076949,0.063198123,2.218195799,2.465511493,0.718256879,0.710191724,0.730804779,0.65943335,0.651368195,0.671981249
97,1,82,b,"rufous-chested dotterel, Charadrius modestus",,,8,1.75,1,0,0.606382036,0.037398013,0.5329716,0.678842016,1.3,0.50990227,1,2.025,3.34268,1.625136523,2,7,2.152140398,0.856455611,1.483597152,4.21499477,0.592644731,0.019598861,0.571604873,0.642629327,1.319982522,0.028067603,1.266990994,1.376581324,1.655492614,0.103643581,1.473096798,1.876272583,0.598052374,0.575154462,0.630726208,0.598052374,0.575154462,0.630726208
98,1,83,a,"Saddleback, Philesturnus carunculatus",,,39,5.1795,1,0,0.283383692,0.010053512,0.264095998,0.303152394,1.466666667,0.735660737,1,3,6.205251538,4.386201507,2,18,5.182078805,2.60742284,3.318382623,11.11081478,0.773720795,0.002209259,0.771688988,0.779546907,1.785927092,0.035261006,1.719024904,1.856008135,3.533235549,0.125628928,3.298670963,3.786501904,0.783681297,0.775117008,0.795349003,0.783681297,0.775117008,0.795349003
